No,Sample,exp_start,exp_start_value,exp_end_1,exp_end_value_1,exp_end_2,exp_end_value_2,exp_end_3,exp_end_value_3,exponential_coef_simple,mean_4points_afterK,mean_9points_afterK,exponential_Y0,exponential_r,position_K,K,mean_window_K,decrease_start,decrease_end,decrease_rate_linear,decrease_rate,steady_start,steady_end,steady_rate,mean_steady,mean_steady_sd,rise_start,rise_end,rise_rate,log_start_position,log_end_position,log_theoretical_K,log_b,log_theoretical_r
11,0102A1,120.1,0.008166667,840.1,0.513555556,870.1,0.5165,900.1,0.507777778,0.008298096,0.512988889,0.5152,0.028805218,0.003643593,239,0.655388889,0.643259259,7140.1,7470.1,-8.62E-05,-6.79E-05,0,0,0,0,0,870.1,3000.1,5.29E-05,5,29,0.267557519,0.229615848,-0.003552578
12,0102A1,150.1,0.018888889,960.1,0.468555556,990.1,0.468222222,1020.1,0.472333333,0.005719272,0.472733333,0.47795,0.053335009,0.002499798,239,0.594388889,0.586592593,5790.1,6120.1,5.94E-06,5.19E-06,6150.1,8010.1,6.14E-06,0.582417989,0.006422685,990.1,3030.1,4.76E-05,6,33,0.332132286,0.234640609,-0.002844963
13,0102F2,120.1,0.02576,840.1,0.42568,870.1,0.42808,900.1,0.42732,0.005620229,0.426304,0.423484,0.069417632,0.002414718,261,0.44548,0.441813333,900.1,2730.1,-4.33E-05,-5.40E-05,2760.1,14970.1,2.02E-06,0.422571961,0.014505705,0,0,0,5,29,0.47033129,3.739521601,-0.008119302
14,0102F2,60.1,0.01064,780.1,0.4056,810.1,0.40936,840.1,0.40968,0.007295122,0.410408,0.413036,0.051226195,0.002913172,233,0.4778,0.475653333,1290.1,2190.1,-3.11E-05,-3.77E-05,6000.1,14970.1,-4.73E-06,0.465195467,0.007312814,0,0,0,3,27,0.457568253,3.801842041,-0.008186197
15,0102F2,30.1,0.0054,720.1,0.40012,750.1,0.40116,780.1,0.4036,0.009001927,0.404584,0.407908,0.042315396,0.003378172,272,0.48948,0.487404444,1290.1,2070.1,-3.29E-05,-4.02E-05,6870.1,14970.1,-4.93E-06,0.477254514,0.00691998,0,0,0,2,25,0.260228081,0.146691589,-0.003909852
16,0102F2,60.1,0.00764,690.1,0.37064,720.1,0.37012,750.1,0.37416,0.008889368,0.373576,0.37574,0.037770718,0.003547821,240,0.45528,0.446,1230.1,2130.1,-2.90E-05,-3.87E-05,6240.1,14970.1,-7.67E-06,0.427675342,0.010290784,0,0,0,3,24,0.23815592,0.143319302,-0.003951268
17,0103A1,90.1,0.017666667,480.1,0.999388889,510.1,0.996388889,540.1,0.991833333,0.014928063,0.993222222,0.987894444,0.141653986,0.004507691,17,0.999388889,0.997148148,630.1,2190.1,-0.000146748,-7.98E-05,3330.1,8040.1,1.71E-05,0.849921238,0.01592955,0,0,0,4,17,1.017436159,5.832711358,-0.022587967
18,0103A1,30.1,0.0185,480.1,1.054388889,510.1,1.053388889,540.1,1.044833333,0.01296164,1.047422222,1.039194444,0.157097838,0.004457907,16,1.068666667,1.058851852,570.1,2130.1,-0.000111948,-5.73E-05,3390.1,5880.1,3.12E-05,0.925408069,0.016422324,0,0,0,2,17,1.08775941,5.608766552,-0.022640841
19,0103A1,60.1,0.021,480.1,1.036388889,510.1,1.035388889,540.1,1.031833333,0.013392934,1.033422222,1.028294444,0.158629234,0.004381579,16,1.045666667,1.038851852,600.1,2160.1,-0.000114833,-5.90E-05,3330.1,7950.1,2.63E-05,0.939423656,0.020021636,0,0,0,3,17,1.066859213,5.528035053,-0.022198593
20,0103A1,30.1,0.0095,480.1,1.010388889,510.1,1.014388889,540.1,1.001833333,0.014961705,1.003822222,0.989394444,0.148555171,0.004476976,16,1.014666667,1.011518519,570.1,2070.1,-0.000225837,-0.000127998,5490.1,8040.1,2.37E-05,0.828745478,0.011949866,0,0,0,2,17,1.033778164,5.490449764,-0.022300133
21,0104A1,60.1,0.013,480.1,1.006388889,510.1,1.005388889,540.1,1.005833333,0.014939363,1.006222222,1.003094444,0.159178931,0.004313342,261,1.055166667,1.049296296,600.1,1380.1,-0.000131355,-6.74E-05,3330.1,5250.1,-3.17E-06,0.994876068,0.009497531,0,0,0,3,17,1.034581391,5.414298648,-0.022048783
22,0104A1,60.1,0.015,480.1,1.035388889,510.1,1.040388889,540.1,1.029833333,0.014545396,1.032222222,1.027094444,0.16785199,0.004258043,261,1.077166667,1.068296296,600.1,1320.1,-0.00014708,-7.35E-05,3270.1,5250.1,6.06E-07,1.018745439,0.009739874,0,0,0,3,17,1.062867331,5.358485661,-0.021998971
23,0104A1,30.1,0.0075,540.1,1.022833333,570.1,1.022277778,600.1,1.017222222,0.013904833,1.019477778,1.015105556,0.201092803,0.003458532,278,1.060444444,0.701685185,630.1,1380.1,-0.000135997,-6.88E-05,3300.1,5220.1,-2.72E-06,1.004151282,0.010044704,0,0,0,2,19,1.038842696,5.426536296,-0.022192142
24,0104A1,30.1,0.0105,480.1,1.058388889,510.1,1.062388889,540.1,1.052833333,0.014789637,1.055622222,1.049894444,0.165328943,0.004348905,18,1.062388889,1.05787037,600.1,1440.1,-0.000177803,-8.80E-05,3390.1,5280.1,-1.32E-05,0.988184028,0.012198285,0,0,0,2,17,1.086815007,5.352044844,-0.022048669
25,0105A1,30.1,0.0175,450.1,1.045666667,480.1,1.039388889,510.1,1.040388889,0.01404982,1.037511111,1.027788889,0.151359107,0.004792572,15,1.0475,1.044148148,570.1,2130.1,-0.000152829,-8.12E-05,3420.1,8010.1,-1.79E-05,0.853195887,0.013126965,0,0,0,2,16,1.06991091,5.465767047,-0.023403268
26,0105A1,30.1,0.0175,600.1,1.066222222,630.1,1.065444444,660.1,1.063611111,0.010401771,1.061666667,1.0553,0.272554782,0.002686203,15,1.0745,1.071814815,600.1,2190.1,-9.44E-05,-4.67E-05,3360.1,8040.1,-1.07E-05,0.954297594,0.008792439,0,0,0,2,21,1.083735323,5.540253001,-0.023431457
27,0105A1,30.1,0.0165,540.1,1.041833333,570.1,1.040277778,600.1,1.040222222,0.011726499,1.042077778,1.038905556,0.211539734,0.003405957,18,1.049388889,1.044203704,630.1,2160.1,-5.60E-05,-2.77E-05,2190.1,8010.1,-9.77E-06,0.989423647,0.011333875,0,0,0,2,19,1.065474617,5.482398383,-0.022518899
28,0105A1,30.1,0.0165,480.1,1.052388889,510.1,1.054388889,540.1,1.047833333,0.013322351,1.053622222,1.052694444,0.166624277,0.004321125,20,1.057277778,1.053777778,630.1,2190.1,-5.36E-05,-2.62E-05,3330.1,8010.1,8.79E-07,0.99418896,0.004109941,0,0,0,2,17,1.084747687,5.329060739,-0.021915535
29,0106A1,30.1,0.0235,480.1,1.063388889,510.1,1.065388889,540.1,1.065833333,0.012221922,1.063822222,1.060794444,0.242631577,0.003551011,261,1.106166667,1.099962963,600.1,1470.1,-0.000167913,-8.19E-05,2070.1,3090.1,-1.45E-05,1.044544444,0.010305877,0,0,0,2,17,1.084359915,4.487900823,-0.021944816
30,0106A1,30.1,0.0245,420.1,1.0375,450.1,1.041666667,480.1,1.038388889,0.013856887,1.040755556,1.039572222,0.181544094,0.004673627,14,1.051277778,1.042685185,570.1,1530.1,-0.000256771,-0.000130504,3270.1,4110.1,-8.41E-06,0.923713921,0.017845702,0,0,0,2,15,1.083258122,4.441544249,-0.021381202
31,0106A1,30.1,0.0235,480.1,1.032388889,510.1,1.030388889,540.1,1.030833333,0.012127071,1.028822222,1.022894444,0.229890127,0.003601843,223,1.051333333,1.022907407,570.1,1440.1,-0.000194569,-9.94E-05,3300.1,5220.1,2.00E-06,0.972274359,0.015499692,0,0,0,2,17,1.054876911,4.50413889,-0.021679542
32,0106A1,30.1,0.0295,480.1,1.065388889,510.1,1.054388889,540.1,1.048833333,0.011498936,1.050622222,1.043094444,0.257014143,0.003421795,17,1.065388889,1.061481482,540.1,1530.1,-0.000195623,-9.85E-05,6870.1,8010.1,3.04E-05,0.927538462,0.014777806,0,0,0,2,17,1.079132855,4.349011077,-0.022012423
33,0107A1,90.1,0.020666667,810.1,0.8375,840.1,0.824555556,870.1,0.8165,0.007417655,0.815977778,0.798855556,0.019020354,0.004947473,27,0.848388889,0.83687037,900.1,4440.1,-7.40E-05,-5.11E-05,4470.1,8010.1,1.57E-05,0.675604575,0.010910115,0,0,0,4,28,0.864003438,12.29976756,-0.02060262
34,0107A1,360.1,0.049277778,810.1,0.9405,840.1,0.937555556,870.1,0.9245,0.009454264,0.929177778,0.921355556,0.015192918,0.005347717,27,0.944388889,0.940537037,960.1,2850.1,-0.000114823,-6.74E-05,3720.1,8040.1,8.16E-06,0.752603065,0.013628562,0,0,0,13,28,1.008278294,11.73210402,-0.018767348
35,0107A1,60.1,0.011,810.1,0.9495,840.1,0.944555556,870.1,0.9385,0.008575457,0.940177778,0.933655556,0.011735595,0.00568187,27,0.955388889,0.94987037,960.1,2760.1,-0.000111551,-6.44E-05,3630.1,8040.1,1.24E-05,0.788843468,0.014085597,0,0,0,3,28,1.023559264,12.13381467,-0.019142268
36,0107A1,60.1,0.015,810.1,0.9145,840.1,0.908555556,870.1,0.9105,0.007906598,0.906377778,0.899355556,0.011669705,0.005629703,27,0.922388889,0.91387037,960.1,2760.1,-0.000109954,-6.61E-05,3360.1,6360.1,-9.19E-06,0.758718372,0.010638206,0,0,0,3,28,1.014752724,10.83706323,-0.016927316
37,0108A1,210.1,0.020055556,690.1,0.831388889,720.1,0.832666667,750.1,0.831722222,0.011194687,0.832933333,0.833761111,0.018598391,0.00577134,274,1.044,1.041148148,0,0,0,0,0,0,0,0,0,720.1,8280.1,5.82E-05,8,24,0.930778909,8.307949332,-0.015741008
38,0108A1,210.1,0.016055556,690.1,0.835388889,720.1,0.838666667,750.1,0.836722222,0.011877715,0.835933333,0.833261111,0.017301164,0.005896242,261,1.001166667,0.995962963,7920.1,8310.1,3.39E-05,1.71E-05,0,0,0,0,0,720.1,7920.1,4.92E-05,8,24,0.915721887,9.123336227,-0.017371706
39,0108A1,210.1,0.023055556,690.1,0.799388889,720.1,0.800666667,750.1,0.800722222,0.010657732,0.802733333,0.803361111,0.017935624,0.005753608,278,1.024444444,0.681351852,7740.1,8310.1,7.06E-06,3.49E-06,0,0,0,0,0,720.1,4140.1,9.09E-05,8,24,0.916568059,7.816684789,-0.014636249
40,0108A1,150.1,0.013888889,690.1,0.810388889,720.1,0.812666667,750.1,0.812722222,0.010864095,0.814333333,0.815761111,0.018674483,0.005718447,278,1.031444444,0.685351852,7770.1,8310.1,1.96E-05,9.64E-06,0,0,0,0,0,720.1,7770.1,6.04E-05,6,24,0.305326978,0.18181892,-0.004969721
41,0109A1,60.1,0.029,360.1,0.993277778,390.1,0.988277778,420.1,0.9805,0.016993575,0.984622222,0.969027778,0.077316084,0.007525347,12,0.997111111,0.958481482,540.1,1320.1,-0.000378793,-0.000217456,2760.1,8040.1,1.26E-05,0.752087571,0.011924348,0,0,0,3,13,1.119030383,4.947090292,-0.020501848
42,0109A1,60.1,0.028,360.1,1.000277778,390.1,1.003277778,420.1,0.9865,0.0171961,1.004422222,0.998727778,0.08215113,0.007380307,16,1.019666667,1.006185185,570.1,1650.1,-0.000238818,-0.000130362,3420.1,8040.1,3.72E-06,0.726651971,0.013415228,0,0,0,3,13,1.112331638,4.91552704,-0.020743797
43,0109A1,60.1,0.026,360.1,0.985277778,390.1,0.985277778,420.1,0.9695,0.017479823,0.980622222,0.961427778,0.07513885,0.007563458,16,0.990666667,0.977518519,540.1,4410.1,-0.000176518,-0.000128988,4440.1,8040.1,2.34E-05,0.585818641,0.014821397,0,0,0,3,13,1.110229547,4.888158038,-0.020140318
44,0109A1,60.1,0.019,390.1,0.972277778,420.1,0.9565,450.1,0.959666667,0.017203931,0.952444445,0.927061111,0.090654295,0.006561328,13,0.976277778,0.969555556,510.1,5220.1,-0.000136099,-0.00010698,5250.1,8040.1,1.97E-05,0.556833924,0.009865253,0,0,0,3,14,1.04615996,5.326814112,-0.021965769
45,0110A1,210.1,0.029055556,960.1,0.353555556,990.1,0.357222222,1020.1,0.360333333,0.004806735,0.358533333,0.36215,0.033518716,0.002593117,257,0.517888889,0.51362963,7710.1,8310.1,-1.61E-05,-1.59E-05,0,0,0,0,0,990.1,5280.1,5.77E-05,8,33,0.236986223,0.16270091,-0.002551768
46,0110A1,150.1,0.017888889,960.1,0.332555556,990.1,0.334222222,1020.1,0.338333333,0.005205506,0.336533333,0.33925,0.034212059,0.002507811,247,0.477388889,0.471481482,7470.1,7860.1,-2.03E-06,-2.16E-06,0,0,0,0,0,990.1,6600.1,4.79E-05,6,33,0.460807176,3.369824384,-0.004655724
47,0110A1,150.1,0.018888889,960.1,0.304555556,990.1,0.303222222,1020.1,0.307333333,0.00495197,0.306533333,0.30845,0.036836521,0.002347556,239,0.419388889,0.414925926,7890.1,8310.1,-2.51E-07,-3.05E-07,0,0,0,0,0,990.1,6660.1,3.83E-05,6,33,0.413573931,3.160999343,-0.004553639
48,0110A1,150.1,0.019888889,960.1,0.355555556,990.1,0.356222222,1020.1,0.360333333,0.005135852,0.358933333,0.36215,0.037344248,0.002495871,278,0.516444444,0.341018518,7860.1,8310.1,7.08E-06,6.99E-06,0,0,0,0,0,990.1,6630.1,5.38E-05,6,33,0.484323416,3.389998497,-0.004777591
49,0111A1,90.1,0.022666667,390.1,0.984277778,420.1,0.9775,450.1,0.970666667,0.018134738,0.963844445,0.935761111,0.067788648,0.007302645,13,0.993277778,0.964888889,540.1,4440.1,-0.000185493,-0.000147149,4470.1,8040.1,-1.91E-05,0.487431404,0.01144484,0,0,0,4,14,1.064355252,6.052024192,-0.023311091
50,0111A1,60.1,0.014,480.1,1.000388889,510.1,0.973388889,540.1,0.952833333,0.014664263,0.971422222,0.950694444,0.153823423,0.004398164,16,1.020666667,1.005518519,540.1,4470.1,-0.000167264,-0.000114697,4500.1,8040.1,-2.14E-05,0.601246965,0.012565084,0,0,0,3,17,1.031600411,6.228749703,-0.02509664
51,0111A1,60.1,0.011,390.1,0.974277778,420.1,0.9695,450.1,0.957666667,0.019602296,0.953244445,0.925261111,0.070274978,0.007203351,13,0.976277778,0.956222222,540.1,5160.1,-0.000150782,-0.000121947,5190.1,8040.1,-8.14E-06,0.516782986,0.005578928,0,0,0,3,14,1.039481919,6.023183743,-0.023775236
52,0111A1,60.1,0.013,390.1,0.979277778,420.1,0.9685,450.1,0.946666667,0.018894347,0.949444445,0.918961111,0.066893215,0.007331682,14,0.979277778,0.975018519,540.1,5190.1,-0.00015803,-0.000134042,5220.1,8040.1,7.82E-08,0.490750292,0.005029659,0,0,0,3,14,1.05630308,5.95569609,-0.023098586
53,0112A1,60.1,0.013,810.1,1.2065,840.1,1.206555556,870.1,1.2085,0.008714897,1.211777778,1.224855556,0.50363756,0.001324572,92,1.339666667,1.331333333,2940.1,4380.1,-2.62E-05,-9.94E-06,6060.1,8010.1,-1.38E-05,1.273289562,0.005943318,840.1,2940.1,0.000104487,3,28,1.184559056,6.279521871,-0.029254131
54,0112A1,90.1,0.025666667,870.1,1.0345,900.1,1.031777778,930.1,1.036555556,0.006837043,1.033922222,1.036322222,0.487914622,0.001039948,102,1.210444444,1.207407407,3000.1,3360.1,-0.000200631,-8.44E-05,6090.1,8010.1,-1.94E-05,1.077700855,0.007955022,900.1,3000.1,0.000156693,4,30,0.985994939,6.062110571,-0.029165643
55,0112A1,60.1,0.013,360.1,0.958277778,390.1,0.958277778,420.1,0.9625,0.020679535,0.962822222,0.974027778,0.106843253,0.006649792,97,1.162444444,1.152703704,2880.1,3390.1,-0.000162806,-7.13E-05,6030.1,8010.1,-8.87E-06,0.977338308,0.005362223,390.1,2880.1,0.0001521,3,13,0.986817285,6.288333933,-0.030304373
56,0112A1,60.1,0.018,600.1,1.038222222,630.1,1.042444444,660.1,1.043611111,0.010833286,1.041066667,1.0553,0.34007247,0.00221682,102,1.193444444,1.188740741,2940.1,3390.1,-0.000189455,-8.10E-05,6060.1,8010.1,-1.16E-05,1.048516835,0.006284169,630.1,2940.1,0.000111793,3,21,1.026075435,6.352771141,-0.031277195
57,0113A1,30.1,0.0265,2070.1,1.378055556,2100.1,1.378722222,2130.1,1.373833333,0.002794362,1.384322222,1.404144445,0.544320686,0.000485753,168,1.677444444,1.664666666,4980.1,6720.1,-6.23E-05,-1.90E-05,6750.1,8010.1,-1.01E-05,1.613616279,0.007841273,2100.1,4740.1,0.000190542,2,70,1.197250693,1.382083381,-0.003598849
58,0113A1,30.1,0.0265,2340.1,1.443,2370.1,1.445111111,2400.1,1.442666667,0.002496509,1.451266667,1.473644444,0.572852298,0.000433683,156,1.674111111,1.66837037,4650.1,6270.1,-6.31E-05,-1.92E-05,6300.1,8010.1,4.05E-06,1.619673372,0.007902961,2370.1,4650.1,0.000171762,2,79,1.34652512,1.114897236,-0.002253098
59,0113A1,30.1,0.0245,1320.1,1.056388889,1350.1,1.054888889,1380.1,1.058944444,0.004209469,1.062111111,1.088661111,0.452255247,0.000754312,155,1.6735,1.669796296,4620.1,6300.1,-7.20E-05,-2.20E-05,6330.1,8010.1,3.96E-06,1.61625731,0.007823664,1350.1,4620.1,0.000330504,2,45,0.954311949,3.430123646,-0.013618529
60,0113A1,30.1,0.0235,2190.1,1.865222222,2220.1,1.864777778,2250.1,1.866,0.002921548,1.870011111,1.887238889,0.574728632,0.000610614,167,2.279722222,2.250648148,4860.1,6600.1,-9.31E-05,-2.12E-05,0,0,0,0,0,2220.1,4860.1,0.000275577,2,74,1.962859991,1.729889771,-0.00216718
61,0114A1,120.1,0.054166667,870.1,1.6155,900.1,1.605777778,930.1,1.604555556,0.006531242,1.611722222,1.625422222,0.644225018,0.001277342,139,2.323888889,2.298148148,4170.1,6450.1,-0.000120797,-2.77E-05,7320.1,8010.1,2.01E-05,2.099462963,0.01735259,900.1,4170.1,0.000384026,5,30,1.581833947,6.170267494,-0.023217497
62,0114A1,120.1,0.058166667,810.1,1.5405,840.1,1.528555556,870.1,1.5295,0.006850815,1.532177778,1.531655556,0.563068907,0.001439871,56,1.5815,1.568666667,960.1,1350.1,-0.000265551,-8.80E-05,0,0,0,0,0,0,0,0,5,28,1.426802968,6.042793205,-0.024426109
63,0114A1,150.1,0.071888889,540.1,1.319833333,570.1,1.319277778,600.1,1.321222222,0.010765239,1.331277778,1.356205556,0.332071884,0.002912405,125,1.8765,1.861740741,3720.1,6300.1,-0.000207503,-6.30E-05,0,0,0,0,0,0,0,0,6,19,1.299941334,8.194001375,-0.033104972
64,0114A1,30.1,0.0405,930.1,1.609555556,960.1,1.608555556,990.1,1.612222222,0.005902885,1.622588889,1.6457,0.597995223,0.001303253,106,2.002333333,1.992037037,1710.1,2130.1,-0.00012414,-3.51E-05,4590.1,6030.1,7.37E-06,1.820513605,0.011328286,0,0,0,2,32,1.257036435,1.194795891,-0.008739738
65,0115A1,30.1,0.0365,750.1,1.587722222,780.1,1.573388889,810.1,1.5745,0.007559609,1.576333333,1.554911111,0.559018917,0.001649198,25,1.616666667,1.592592593,780.1,2790.1,-0.000182597,-6.50E-05,4380.1,5610.1,-3.55E-05,1.323042328,0.011899729,0,0,0,2,26,1.542579806,2.820637943,-0.013251495
66,0115A1,30.1,0.0405,1410.1,1.711277778,1440.1,1.698055556,1470.1,1.696555556,0.003913774,1.701911111,1.705438889,0.887562571,0.000573951,66,1.721833333,1.703962963,1890.1,4290.1,-9.81E-05,-2.96E-05,5760.1,7320.1,-2.12E-05,1.572629979,0.011031843,0,0,0,2,48,1.409380677,-1.215513633,-0.003356632
67,0115A1,30.1,0.0475,930.1,1.540555556,960.1,1.541555556,990.1,1.515222222,0.005577088,1.521388889,1.5123,0.699437591,0.001073443,26,1.620722222,1.604925926,750.1,2400.1,-0.00012638,-4.28E-05,3960.1,5700.1,-3.06E-05,1.409822034,0.010032486,0,0,0,2,32,1.550793725,2.692673293,-0.012784166
68,0115A1,30.1,0.0605,810.1,1.6265,840.1,1.591555556,870.1,1.5935,0.006088066,1.597977778,1.602255556,0.551948515,0.001541885,57,1.709222222,1.701722222,1830.1,3900.1,-7.76E-05,-2.35E-05,0,0,0,0,0,840.1,1830.1,0.000255665,2,28,1.569848594,2.294207549,-0.00967474
69,0116A1,30.1,0.0195,870.1,1.2835,900.1,1.283777778,930.1,1.288555556,0.00719103,1.286722222,1.294822222,0.529669979,0.001236287,118,1.431444444,1.415944444,2970.1,3330.1,-0.000157163,-5.57E-05,3360.1,5730.1,-2.43E-06,1.411853472,0.009356308,900.1,2970.1,0.000123058,2,30,1.229753421,5.428497676,-0.026219429
70,0116A1,30.1,0.0185,1080.1,1.138277778,1110.1,1.137944444,1140.1,1.139777778,0.005660175,1.143211111,1.149044444,0.560487175,0.00082066,102,1.265444444,1.260740741,2970.1,3360.1,-0.000205584,-8.30E-05,3390.1,5760.1,-5.95E-06,1.235211806,0.010534972,1110.1,2970.1,0.000121938,2,37,1.099787985,5.260270398,-0.025774288
71,0116A1,30.1,0.0185,360.1,1.024277778,390.1,1.028277778,420.1,1.0325,0.017548297,1.033622222,1.046827778,0.126856865,0.006353687,111,1.297666667,1.253944444,2940.1,3540.1,-0.000162641,-6.54E-05,3570.1,5070.1,-2.87E-05,1.229448802,0.01118773,390.1,2940.1,0.00017247,2,13,1.055046062,5.414132121,-0.027117048
72,0116A1,60.1,0.032,870.1,1.2835,900.1,1.287777778,930.1,1.285555556,0.006575145,1.288522222,1.299422222,0.587323295,0.001114704,97,1.416444444,1.40437037,3030.1,4410.1,-4.61E-05,-1.66E-05,6060.1,8010.1,8.55E-06,1.340835017,0.006178624,900.1,3030.1,0.000105054,3,30,1.259979311,5.515953628,-0.026453043
73,0201B1,30.1,0.024333333,660.1,1.0255,690.1,1.017,720.1,1.020888889,0.008567063,1.014866667,1.007016667,0.322147735,0.002108667,19,1.048166667,1.038055556,630.1,5490.1,-0.000172543,-0.000114894,0,0,0,0,0,0,0,0,2,23,1.025483517,4.643734063,-0.021213798
74,0201B1,30.1,0.029333333,570.1,1.015388889,600.1,1.017111111,630.1,1.003722222,0.009469162,1.005344444,0.992783333,0.287220339,0.002621502,19,1.035166667,1.024055556,600.1,13290.1,-0.000120572,-0.000102262,0,0,0,0,0,0,0,0,2,20,1.016788976,4.543358724,-0.022082022
75,0201B1,30.1,0.026333333,570.1,1.015388889,600.1,1.020111111,630.1,1.011722222,0.009757405,1.009744444,0.997983333,0.262034089,0.002774144,19,1.033166667,1.020388889,630.1,14340.1,-0.000111073,-9.85E-05,0,0,0,0,0,0,0,0,2,20,1.008503952,4.537849381,-0.020971709
76,0201B1,30.1,0.023333333,630.1,0.989722222,660.1,0.9845,690.1,0.974,0.009010932,0.976322222,0.96125,0.269850829,0.002429971,19,0.997166667,0.992388889,630.1,7110.1,-0.000105662,-7.80E-05,7140.1,10950.1,-2.67E-05,0.589175781,0.015976526,0,0,0,2,22,0.987119659,4.388306756,-0.019002782
77,0201F2,30.1,0.0184,480.1,1.01588,510.1,1.0186,540.1,1.01404,0.012859734,1.005288,0.975996,0.251589828,0.003362289,16,1.01952,1.01396,510.1,5640.1,-0.000185444,-0.000154316,5670.1,14970.1,-8.93E-06,0.463457621,0.012737845,0,0,0,2,17,1.007266295,4.726547444,-0.025135232
78,0201F2,30.1,0.0224,480.1,1.00688,510.1,1.0006,540.1,0.99104,0.012200554,0.987088,0.951496,0.263741145,0.00325444,13,1.02588,0.996173333,510.1,5610.1,-0.000162419,-0.000144243,5640.1,14970.1,-6.27E-06,0.475131923,0.009179079,0,0,0,2,17,1.009071344,4.579232403,-0.024855857
79,0201F2,30.1,0.0234,480.1,1.00988,510.1,1.0036,540.1,0.99304,0.01207007,0.991488,0.959596,0.264612772,0.003239157,17,1.00988,1.007333333,510.1,5760.1,-0.000156316,-0.000132843,5790.1,14970.1,-6.98E-06,0.495878436,0.010118673,0,0,0,2,17,1.002460799,4.520435659,-0.02479328
